FILTRO,REGION,REGION_CAB,NOM_COMUNA,ZONA,FENC_DD,FENC_MM,MB_P1_1,MB_P1_2,MB_P1_3,MB_P2,MB_P3,MB_P4,MB_P5,MB_P6,MB_P7,MB_P8,MB_P9,MB_P10,MB_P11,MB_P12,MB_P13,MB_P14,MB_P15,MB_P16,MB_P16_OTRO,MB_P16_A,MB_P16_A_OTRO,MB_P17,MB_P17_OTRO,MB_P17_A,MB_P17_A_OTRO,MB_P18,MB_P18A,MB_P19_A,MB_P19_B,MB_P19_C,MB_P19_D,MB_P19_E,MB_P19_F,MB_P19_G,MB_P19_H,MB_P19_I,MB_P19_J,MB_P19_K,MB_P19_L,MB_P19_M,MB_P19_N,MB_P19_O,MB_P19_P,MB_P19_Q,MB_P19_R,MB_P19_S,MB_P19_T,MB_P19_U,MB_P19_V,MB_P19_W,MB_P19_X,MB_P19_Y,MB_P19_Z,MB_P19_AA,MB_P19_BB,MB_P19_CC,MB_P19_DD,MB_P19_EE,MB_P20,MB_P21,MB_P22_1,MB_P22_2,MB_P22_3,MB_P22_4,MB_P22_5,MB_P22_6,MB_P22_7,MB_P22_8,MB_P23,MB_P24,MB_P25_1,MB_P25_2,MB_P25_3,MB_P25_4,CISSP_25B_1_1,CISSP_25B_1_2,CISSP_25B_1_3,CISSP_25B_1_4,CISSP_25B_1_5,CISSP_25B_1_6,CISSP_25B_1_7,CISSP_25B_1_8,CISSP_25B_1_9,CISSP_25B_2_1,CISSP_25B_2_2,CISSP_25B_2_3,CISSP_25B_2_4,CISSP_25B_2_5,CISSP_25B_2_6,CISSP_25B_2_7,CISSP_25B_2_8,CISSP_25B_2_9,MB_P26,MB_P27,MB_P28,MB_P29,MB_P300,MB_P31,MB_P32,MB_P33_1,MB_P33_2,MB_P33_3,MB_P33_4,MB_P33_5,MB_P33_6,MB_P33_7,MB_P33_8,MB_P34_1,MB_P34_2,MB_P34_3,MB_P34_4,MB_P34_5,MB_P35,CISSP_1_1,CISSP_1_2,CISSP_2_1,CISSP_2_2,CISSP_2_3,CISSP_2_4,CISSP_2_5,CISSP_2_6,CISSP_2_7,CISSP_2_8,CISSP_2_9,CISSP_3,CISSP_4,CISSP_5,CISSP_6,CISSP_6_OTRO,CISSP_7,CISSP_8_1,CISSP_8_2,CISSP_9,CISSP_10,CISSP_11,CISSP_12_1,CISSP_12_2,CISSP_12_3,CISSP_12_4,CISSP_12_5,CISSP_12_6,CISSP_12_7,CISSP_12_8,CISSP_13_1,CISSP_13_2,CISSP_14_1,CISSP_14_2,CISSP_15,CISSP_16,CISSP_17,CISSP_18,CISSP_19_1,CISSP_19_2,CISSP_20,CISSP_21,CISSP_22_1,CISSP_22_2,CISSP_23,CISSP_24_1,CISSP_24_2,CISSP_24_3,CISSP_25_1,CISSP_25_2,CISSP_26,CISSP_27,CISSP_28,CISSP_29_1,CISSP_29_2,CISSP_29_3,CISSP_29_4,CISSP_29_5,CISSP_29_6,CISSP_30,CISSP_31,CISSP_32,CISSP_33_ANO,CISSP_33_MES,CISSP_34,CISSP_35,CISSP_36,CISSP_37,CISSP_38,CISSP_39_1,CISSP_39_2,CISSP_39_3,CISSP_39_4,CISSP_39_5,CISSP_39_6,CISSP_40_1,CISSP_40_2,CISSP_40_3,CISSP_40_4,CISSP_40_5,CISSP_40_6,CISSP_41,CISSP_42,CISSP_43,CISSP_43_OTRO,CISSP_44,CISSP_45,CISSP_46_1,CISSP_46_2,CISSP_46_3,CISSP_46_4,CISSP_46_5,CISSP_47,CISSP_48,CISSP_49,CISSP_50_1,CISSP_50_2,CISSP_51,DS_P1,DS_P2,DS_P2_EXACTA,DS_P2_EDAD_APROX,DS_P2A_DIA,DS_P2A_MES,DS_P2A_ANO,DS_P3,DS_P4,DS_P5,DS_P6,DS_P6_HORAS,DS_P7,DS_P8,DS_P8_EXACTO,DS_P9,DS_P10,DS_P10_EXACTO,DS_P11,DS_P12,DS_P13A,DS_P13A_PRINCIPAL,DS_P13B,DS_P13B_PRINCIPAL,DS_P13C,DS_P13C_FUNCION,DDP13ciuo08,DS_P14,DS_P15,DS_P16,DS_P17,DS_P17_NHORAS,DS_P18,DS_P19,DS_P20A,DS_P20A_ACTIVIDAD,DS_P20B,DS_P20B_FUNCIONES,DS_P20C,DS_P20C_OTRO,DDP20cuio08,DS_P21,DS_P22,DS_P23,DS_P24,DS_P25,DS_P25_OTRA,DS_P26,DS_P27,DS_P28,DS_P29,DS_P29_OTRO,DS_P30,DS_P31,DS_P31_OTRO,DS_P32A,DS_P32A_OTRO,DS_P32B,DS_P32B_OTRO,DS_P32C,DS_P32C_OTRO,DS_P33,DS_P33_EDAD,DS_P34,DS_P35,DS_P36,DS_P37,DS_P37_OTRO,DS_P38,DS_P38_OTRO,DS_P39,DS_P40,DS_P41,P42_1,P42_2,P42_3,P42_4,P42_5,P42_6,P42_7,P42_8,P42_9,P42_10,P42_11,P42_12,P42_13,P42_14,P42_15,P42_16,P42_17,P43_1,P43_2,P43_3,P43_4,P43_5,P43_6,PONDERADOR,SEXO_ENTREV,EDAD_ENTREV,TRAMO_EDAD,GSE,POSICION_POLITICA,ESCOLARIDAD
1297,Metropolitana de Santiago,13,La Granja,1,26,4,10,6,7,3,3,3,4,2,2,2,2,2,2,2,2,2,3,9,-,9,-,4,-,4,-,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,4,4,2,4,2,2,88,2,2,2,5,5,5,2,2,2,2,4,4,3,3,2,3,2,4,4,4,3,3,4,4,3,1,2,5,2,2,1,1,3,3,3,3,3,3,3,1,4,5,5,5,4,3,1,5,1,1,1,1,1,2,1,1,1,1,2,1,3,-,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,4,2,2,4,2,3,5,5,1,1,1,1,3,3,2,2,1,-,1,2,,,,,,4,3,2,2,3,2,2,1,18,,13,8,1997,11,3,3,,,,,,,,,,,,-,,-,,-,,7,1,1,1,60,1,2,1,PIONETA DE CAMIN DE CARGA,1,CARGAR CAMIN,1,CARGAR CAMIONES,9333,1,3,2,3,1,-,5,4,2,,-,88,1,2,1,2,1,0,1,0,98,,1,7,1,2,PER,2,PER,1,3,4,1,1,2,2,1,2,1,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,0.414,2,18,1,4,4,3
1300,Metropolitana de Santiago,13,La Granja,1,26,4,3,9,16,2,3,2,4,3,2,1,2,2,2,2,2,2,3,4,-,,-,1,-,,-,2,,5,1,6,6,1,1,1,4,1,1,1,1,5,4,2,5,1,5,5,1,6,1,6,1,1,4,4,3,6,6,6,1,2,1,1,1,1,1,1,1,1,2,2,5,5,5,5,3,2,4,3,4,3,3,2,4,2,4,4,2,3,4,4,4,4,1,2,5,1,2,1,1,3,1,3,3,1,2,3,1,5,5,3,5,3,3,1,5,1,1,1,1,3,2,1,2,1,4,4,2,,-,2,5,1,1,1,1,3,2,4,3,2,3,2,1,5,2,4,2,2,2,1,2,2,4,4,2,1,1,1,2,1,3,4,2,5,4,2,2,5,4,1,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,-,,1,1,1,1,1,3,2,4,1,1,5,2,2,1,42,,20,10,1972,12,4,1,1,34,2,,,2,,,1,2,1,EJECUTIVA DE VENTAS,1,OFRECER PRESTAMOS,1,OFRECE CRDITOS DE CONSUMO,5249,2,1,1,1,48,1,2,1,MECNICO,1,MECNICO,1,MECNICO,7231,1,4,3,3,1,-,6,5,1,4,-,88,1,3,1,3,1,0,1,0,98,,9,9,1,1,-,1,-,1,1,4,1,1,1,1,1,2,1,2,1,2,1,1,2,2,2,2,2,1,2,2,2,2,2,0.641,2,42,3,4,1,3
1301,Metropolitana de Santiago,13,La Granja,1,28,4,9,2,7,2,3,4,2,3,1,2,1,1,1,1,1,1,2,5,-,,-,2,-,,-,5,,6,5,6,6,5,5,6,6,6,6,4,5,2,6,6,6,5,6,4,6,6,6,6,4,6,6,6,6,6,6,6,2,1,4,4,6,4,2,4,88,4,1,1,8,8,8,5,3,2,1,3,3,2,2,2,3,2,1,3,2,2,3,3,3,2,1,2,5,2,2,1,1,1,3,3,1,2,2,2,2,5,4,5,4,5,3,2,5,1,1,1,1,1,1,1,1,1,1,1,2,,-,2,2,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2011,8,1,4,2,,,,,,,,,,,,,,,,,1,-,1,2,,,,,,2,2,2,5,1,5,2,1,65,,27,9,1948,3,1,2,,,2,,,2,,,1,2,1,FERIANTE,1,FERIANTE,1,VENDER ROPA USADA,5221,9,1,1,1,40,1,2,1,VENDEDOR. DE GAS,1,VENDEDOR. DE GAS,1,VENDEDOR. DE GAS,5211,1,3,3,3,2,-,1,5,1,5,-,88,1,2,1,2,1,0,1,0,98,,2,10,1,1,-,1,-,1,1,4,1,1,1,1,1,2,1,2,1,2,1,1,1,2,2,2,2,1,2,2,2,2,2,0.292,2,65,5,4,3,1
1304,Metropolitana de Santiago,13,La Granja,1,3,5,3,2,1,3,1,3,2,2,2,2,2,2,2,2,2,2,3,9,-,9,-,4,-,4,-,7,7,2,3,6,6,2,4,6,1,2,1,2,1,1,1,1,8,3,3,1,1,6,6,1,6,3,1,3,3,6,6,6,3,2,1,1,1,4,1,4,4,1,2,2,3,3,5,8,3,2,3,4,4,1,4,2,4,9,3,2,4,4,4,2,3,4,1,2,4,2,2,1,1,3,3,3,3,3,3,3,2,5,5,5,5,5,3,1,5,1,1,1,1,1,1,1,1,1,4,4,2,,-,2,4,2,2,1,1,2,2,2,2,1,2,2,1,5,5,5,1,2,2,2,2,2,4,2,2,8,8,2,2,1,5,5,1,5,4,4,4,5,5,5,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,-,,1,1,1,1,1,1,3,2,2,2,5,2,1,1,45,,,,,12,4,1,1,40,2,,,2,,,1,2,1,TAXISTA,1,CHOFER,1,CHOFER,8322,1,1,3,,,,,,-,,-,,-,,9,3,3,2,9,-,8,5,1,5,-,88,1,7,1,5,1,0,1,2,1,1,9,9,1,1,-,1,-,1,1,4,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,2,2,1,2,2,1,2,2,7.22,1,45,4,4,4,3
1306,Metropolitana de Santiago,13,La Granja,1,3,5,3,9,10,2,3,2,4,3,2,1,2,2,2,2,2,2,3,9,-,9,-,1,-,,-,2,,5,1,6,6,1,3,1,4,1,1,1,1,5,4,1,5,1,5,5,1,6,1,6,1,1,6,6,6,6,6,6,1,2,1,1,1,1,1,1,1,1,2,2,5,5,5,2,2,1,3,4,4,2,2,3,4,1,4,3,2,4,4,4,4,4,1,2,4,2,2,1,1,3,1,2,3,3,1,3,1,5,5,5,5,3,3,1,4,1,1,1,1,3,2,1,2,1,1,1,2,,-,2,3,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2005,3,3,1,2,,,,,,,,,,,,,,,,,1,-,1,2,,,,,,4,4,3,2,4,4,2,1,66,,6,10,1948,8,3,2,,,1,,,2,,,1,2,1,ASEADORA,1,HACER EL ASEO,1,LIMPIAR,9112,9,1,1,1,40,1,2,1,OPERARIO MAQUINARIA,1,ARREGLAR MAQUINAS,1,ARREGLAR,8160,1,3,3,3,1,-,5,3,1,4,-,88,1,2,1,2,1,0,1,0,98,,1,10,1,1,-,1,-,1,1,4,1,1,1,1,1,2,1,2,1,2,1,1,1,2,2,2,2,1,2,2,2,2,2,1.364,2,66,5,3,1,2
1307,Metropolitana de Santiago,13,La Granja,1,27,4,12,2,7,3,3,5,2,3,1,2,2,2,1,1,1,1,3,9,-,9,-,4,-,4,-,7,7,6,4,6,6,5,4,6,6,6,6,4,4,2,6,4,6,5,4,4,6,6,6,6,4,1,6,6,6,6,6,6,3,1,5,5,4,4,2,2,2,2,1,1,8,8,8,5,3,2,1,3,3,2,2,2,3,1,1,3,8,1,3,3,2,2,1,2,3,2,2,1,1,1,3,2,8,2,2,8,1,8,8,8,2,2,3,1,8,1,1,1,1,1,1,1,5,1,3,4,2,,-,2,2,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,,,,,,,1,-,1,2,,,,,,2,3,2,5,1,4,2,1,49,,6,5,1965,8,2,3,,,,,,,,,,,,-,,-,,-,,9,1,1,1,60,2,2,1,RECEPCIONISTA DE MERCADERA,1,RECEPCIONISTA DE MERCADERA,1,RECEPCIONISTA,4226,1,4,3,3,2,-,1,5,1,9,-,88,1,3,1,3,1,0,1,0,98,,99,11,1,1,-,1,-,1,1,3,1,1,1,1,1,2,1,2,1,2,1,1,1,2,2,2,2,1,2,2,2,2,2,6.964,2,49,4,3,4,2
1309,Metropolitana de Santiago,13,La Pintana,1,10,4,3,7,8,1,3,2,3,2,3,3,2,2,2,2,1,1,2,9,-,9,-,4,-,4,-,7,7,9,9,9,9,9,9,9,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,3,8,4,4,4,4,4,4,4,4,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,4,2,2,1,3,8,8,8,8,8,8,8,8,8,8,8,8,8,4,2,5,2,2,2,2,2,2,2,2,2,8,8,8,,-,2,2,3,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2007,7,3,2,2,,,,,,,,,,,,,,,,,3,-,2,2,,,,,,5,5,3,2,5,5,2,1,63,,15,3,1952,8,2,2,,,3,1,2,2,,,1,2,1,TAPIZADORA DE AUTOS,1,FABRICAR TAPICES PARA AUTO,1,TAPICERA DE AUTOS,9999,8,3,,,,,,,-,,-,,-,,,1,9,9,1,-,5,88,1,99,-,88,1,1,1,1,1,0,1,0,98,,3,3,5,1,-,1,-,1,1,4,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0.112,2,63,5,4,4,2
1310,Metropolitana de Santiago,13,La Pintana,1,15,4,3,9,7,3,2,3,2,1,2,2,2,2,2,2,2,2,2,9,-,9,-,4,-,4,-,7,7,3,3,6,6,2,4,3,2,4,3,2,2,5,6,6,6,6,3,5,6,6,6,6,1,1,3,4,6,4,6,6,1,2,3,3,3,3,1,3,3,3,2,1,5,5,5,5,4,3,4,4,4,3,3,3,4,3,4,4,4,4,4,4,4,4,1,2,2,2,2,1,3,3,1,3,3,1,2,2,1,5,5,3,5,3,3,2,5,2,2,2,2,3,3,3,3,3,2,3,2,,-,2,2,2,1,1,3,2,4,4,4,4,4,4,3,5,5,5,5,1,1,3,3,5,5,3,2,3,2,3,3,3,5,1,3,2,2,4,2,5,5,3,5,3,4,,,,,,,,,,,,,,,,,,,,,,,,,-,,1,1,1,1,1,1,3,3,8,1,5,3,2,1,53,,29,12,1961,8,2,1,1,40,1,,,2,,,1,2,1,AUXILIAR DE ASEO,1,ASEO DE OFICINAS,1,ASEO DE EMPRESAS,9111,1,1,1,1,45,1,2,1,CERRAJERO,1,CONSTRUCCIN ESTRUCTURAS METLICAS,1,CONSTRUCCIN,7119,1,2,2,3,1,-,8,88,1,9,-,88,1,3,1,2,1,1,1,0,1,7,8,10,1,1,-,1,-,1,1,4,1,1,2,2,1,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,1,2,2,0.254,2,53,4,4,4,2
1311,Metropolitana de Santiago,13,La Pintana,1,15,4,9,11,7,1,2,2,2,2,2,3,2,2,2,2,2,2,2,9,-,9,-,4,-,4,-,7,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,1,1,1,1,1,1,8,8,9,9,9,9,8,8,2,8,8,8,8,8,8,4,4,4,4,4,4,4,4,4,8,8,4,2,2,1,8,3,3,3,3,3,9,3,3,5,5,5,5,5,4,3,5,1,2,2,2,3,8,8,8,8,3,3,2,,-,2,5,8,2,1,2,3,4,4,4,4,4,4,4,2,2,2,2,1,3,3,4,2,2,2,2,3,3,4,8,8,8,1,3,4,4,2,3,3,3,3,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,-,,1,1,1,1,1,1,3,4,3,8,8,5,2,1,45,,14,10,1969,10,3,1,1,45,1,,,2,,,1,2,1,ASEADORA EN UN COLEGIO,1,LIMPIAR PISOS ENCERAR SACUDIR,1,COLEGIO,9111,1,1,1,998,,2,2,1,COMERCIANTE,1,VENDER,1,INDEPENDIENTE,9999,3,1,3,3,9,-,8,1,1,9,-,88,1,7,1,4,1,2,1,1,1,4,99,99,5,1,-,1,-,1,3,4,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,0.508,2,45,4,4,4,3
1312,Metropolitana de Santiago,13,La Pintana,1,26,4,10,11,3,9,9,9,9,9,9,9,9,9,9,9,9,9,9,99,-,99,-,9,-,9,-,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,99,99,99,99,99,99,99,99,9,9,9,9,9,9,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,,-,9,9,9,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,2,-,9,2,,,,,,4,4,9,9,9,4,2,1,55,,28,2,1960,2,1,2,,,1,,,2,,,2,9,1,TRABAJOS ESPORDICOS,1,CUIDAR CASA,1,"LAVADOS, CUIDAR CASA",9111,9,3,,,,,,,-,,-,,-,,,99,9,9,1,-,8,99,9,,-,99,1,3,1,2,1,1,1,0,1,15,99,99,9,1,-,1,-,1,1,4,1,2,2,2,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,0.224,2,55,5,4,5,1
1313,Metropolitana de Santiago,13,La Pintana,1,10,4,14,10,3,3,2,3,3,2,2,3,2,2,2,2,2,2,3,9,-,9,-,4,-,4,-,7,7,8,8,2,8,1,8,9,1,1,8,8,1,8,1,1,9,8,6,5,9,8,1,1,1,1,9,6,8,6,1,6,2,2,2,3,3,1,1,1,1,1,2,8,5,8,8,8,1,2,8,4,4,3,3,2,8,1,4,4,4,3,4,4,4,4,1,2,4,2,2,2,3,3,2,3,3,3,3,3,3,3,3,9,9,9,8,1,8,1,2,2,2,2,2,2,2,2,4,4,2,,-,2,9,9,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2014,12,2,88,1,2,4,9,9,9,9,9,9,9,9,9,9,9,9,2,2,1,-,4,1,9,9,9,9,9,3,2,2,9,9,3,2,1,61,,3,10,1953,11,3,2,,,2,,,2,,,9,9,1,ASESORA DE HOGAR,1,LAVAR COCINAR,1,ASESORA-,9111,9,1,1,998,,1,2,1,OBRERO,1,CONSTRUCCIN,1,TRABAJOS DE CONSTRUCCIN,7112,1,1,2,3,1,-,8,2,1,99,-,99,1,3,1,2,1,0,1,1,1,5,99,99,5,1,-,1,-,1,9,4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0.224,2,61,5,4,4,3
1314,Metropolitana de Santiago,13,La Pintana,1,26,4,3,13,12,2,1,4,2,2,1,1,1,1,1,1,1,1,3,9,-,9,-,4,-,4,-,7,7,6,6,6,6,3,2,6,6,6,6,3,6,3,6,6,6,6,6,3,6,6,6,6,6,6,6,6,6,6,6,6,3,3,4,4,4,4,4,4,4,4,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,2,3,8,8,8,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,8,2,5,3,3,3,3,3,3,3,3,3,3,3,2,,-,2,8,8,1,1,2,3,4,3,3,3,3,3,3,5,3,5,5,1,1,3,3,5,5,4,2,3,3,4,3,3,3,3,3,4,3,8,3,4,3,3,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,-,,1,1,1,1,1,1,3,3,3,2,5,4,2,1,53,,2,9,1962,8,2,1,1,45,1,,,2,,,1,2,1,AUXILIAR DE COLEGIO,1,TAREAS VARIAS EN COLEGIO,1,ENSEANZA,9999,1,1,1,1,45,1,2,9999,-,9999,-,9999,-,9999,1,2,9,9,1,-,8,99,1,9,-,88,1,5,1,4,1,1,1,0,1,17,99,99,1,1,-,1,-,1,1,4,1,2,2,2,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,0.381,2,53,4,4,4,2
1315,Metropolitana de Santiago,13,La Pintana,1,14,4,10,3,11,4,2,3,3,1,1,8,2,2,1,2,2,2,3,9,-,9,-,4,-,4,-,7,7,2,2,6,6,3,4,6,6,6,4,4,6,6,6,6,2,6,2,3,6,6,6,6,1,3,4,6,6,6,6,6,2,1,6,6,6,5,6,5,5,5,2,2,5,5,2,5,4,3,4,4,4,3,3,3,3,4,4,4,4,4,4,2,2,4,1,8,4,2,2,1,3,2,2,2,2,2,2,2,2,5,5,5,5,5,3,3,3,2,2,2,2,2,2,2,2,2,3,4,2,,-,2,3,3,1,1,3,2,5,5,5,2,2,2,2,5,2,2,4,2,2,1,1,3,3,4,1,1,1,2,3,3,3,1,3,4,2,2,2,5,2,3,3,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,-,,1,1,1,1,1,1,1,2,2,2,5,3,2,1,49,,14,12,1966,13,6,1,1,35,1,,,2,,,1,2,1,CONTADORA,1,EFECTA CONTABILIDAD,1,FINANZAS DE EMPRESAS,2411,1,3,,,,,,,-,,-,,-,,,99,4,3,1,-,8,5,1,9,-,88,1,5,1,4,1,1,1,0,1,9,8,9,4,1,-,1,-,1,1,3,1,1,2,2,1,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2.548,2,49,4,4,4,4
1316,Metropolitana de Santiago,13,La Pintana,1,14,4,5,3,4,1,2,1,3,2,2,3,2,2,2,2,2,2,3,9,-,9,-,4,-,8,-,9,7,6,6,6,6,1,9,6,8,9,9,9,6,9,9,6,6,6,9,6,9,9,6,6,6,9,8,6,9,6,9,9,9,9,1,1,1,1,1,1,1,1,2,2,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,4,2,2,1,2,3,3,3,3,3,9,3,3,9,9,9,9,9,4,2,3,2,2,2,2,2,2,2,2,3,3,3,2,,-,2,4,5,8,1,8,3,2,2,2,1,1,1,1,5,5,4,4,1,1,3,3,8,8,4,1,9,9,1,3,2,3,3,2,1,4,4,2,2,8,8,8,8,4,,,,,,,,,,,,,,,,,,,,,,,,,-,,1,1,1,1,1,1,3,2,2,2,3,2,2,1,46,,22,2,1969,15,6,1,1,45,1,,,2,,,1,2,1,CUIDAR ENFERMOS,1,ENFERMERA,1,CUIDAR ENFERMOS,5321,1,3,,,,,,,-,,-,,-,,,1,9,3,1,-,8,5,1,9,-,88,1,7,1,7,1,0,1,0,98,,99,99,4,1,-,1,-,1,5,3,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0.51,2,46,4,4,5,4
1318,Metropolitana de Santiago,13,La Pintana,1,13,4,3,10,7,2,2,2,3,8,2,2,2,2,2,2,8,8,3,9,-,9,-,4,-,4,-,7,7,6,6,6,6,3,6,6,6,6,6,6,6,6,6,6,6,6,6,3,6,6,6,6,6,6,6,6,6,6,6,6,9,9,4,88,4,88,3,88,88,88,8,8,8,8,8,8,2,2,3,4,8,8,8,8,8,2,8,8,8,8,8,8,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,8,8,,-,8,8,8,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,,,,,,,3,-,4,2,,,,,,4,8,8,8,8,5,2,1,94,,10,5,1920,4,1,3,,,,,,,,,,,,-,,-,,-,,8,3,,,,,,,-,,-,,-,,,1,9,3,1,-,8,88,9,,-,88,1,1,1,1,1,0,1,0,98,,4,4,2,1,-,1,-,1,1,4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0.112,2,94,5,4,4,2
1319,Metropolitana de Santiago,13,La Pintana,1,14,4,5,7,3,1,2,2,3,1,1,2,1,1,1,1,1,1,2,5,-,,-,2,-,,-,4,,6,5,6,6,5,3,6,6,4,3,6,3,1,6,6,2,3,2,2,6,6,6,4,6,4,6,1,6,6,6,6,1,1,6,6,6,6,4,6,6,6,1,1,2,2,2,2,4,4,4,3,4,3,3,3,3,4,2,3,4,4,4,2,3,3,2,8,4,2,2,2,2,1,2,2,2,2,2,2,3,2,3,3,3,3,3,1,5,9,3,3,3,3,3,3,3,3,4,4,2,,-,3,2,5,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,,,,,,,6,-,4,2,,,,,,4,3,3,2,5,3,1,1,70,,,,,8,2,2,,,2,,,2,,,2,1,1,AUXILIAR DE HOSPITAL,1,ATENDER TAREAS DE MANTENCIN HOSPITALARIA,1,ATENCIN DE PACIENTES,2269,11,3,,,,,,,-,,-,,-,,,2,3,3,10,-,8,3,1,5,-,88,1,4,1,4,1,0,1,0,98,,99,99,4,1,-,1,-,1,5,4,1,1,2,2,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1.898,1,70,5,4,3,2
1320,Metropolitana de Santiago,13,La Pintana,1,14,4,10,7,9,3,2,1,2,2,2,2,2,2,2,8,8,8,8,9,-,9,-,8,-,8,-,7,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,5,2,2,1,1,1,1,2,2,8,8,8,8,9,9,1,9,9,9,9,1,9,8,8,4,4,4,4,4,4,4,8,8,8,9,9,9,9,8,8,8,8,8,8,8,8,9,9,9,9,9,4,9,9,1,2,2,2,2,2,2,2,2,4,4,2,,-,1,3,3,1,1,8,2,3,3,3,3,3,3,3,5,5,5,5,1,1,3,3,9,9,4,2,2,1,2,3,3,3,3,3,1,1,4,3,3,2,3,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,-,,1,1,1,1,1,1,3,3,3,3,3,4,2,1,45,,10,10,1969,6,1,1,1,45,1,,,2,,,1,2,1,ASEO,1,LIMPIAR OFICINAS,1,DIRECCIN DEL TRABAJO,9111,1,3,,,,,,,-,,-,,-,,,1,2,3,2,-,8,4,1,9,-,88,1,4,1,2,1,2,1,0,98,,99,99,4,1,-,1,-,1,3,4,1,1,1,2,1,2,1,2,1,2,1,1,2,1,2,2,2,8,2,2,2,2,2,0.255,2,45,4,4,4,2
